Molecular_Weight,Polar_Area,Complexity,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,SMILES
-0.7937503731778365,-0.5664007947933994,-0.5986308577803364,2.0,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CC1=CC=CC=C1O
-0.7213476210431099,-0.3504331655458578,-0.5394900513231877,2.3,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,C1=CC=C(C(=C1)C(=O)O)O
-0.7937503731778365,-0.5664007947933994,-0.5986308577803364,2.0,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CC1=CC(=CC=C1)O
-0.3974189638105924,0.011442888823347335,-0.4006707950089802,-0.7,0.4495034600639759,0.019943014598778355,-0.38136879734008106,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
-0.7790428094520031,-0.6833591355655265,-0.6421782683227384,3.9,-0.5734327250696595,-0.8506520437508999,-0.20151117104193222,CCCCCCCC
-0.7503521925287024,-0.33190511156215446,-0.6057619839608608,0.2,0.04032898601052175,-0.47753987588675206,-0.6511552367873044,C1=C(C=C(C=C1O)O)O
-0.6440664980173844,-0.11593748231461287,-0.5052606456566707,0.7,0.24491622303724883,-0.22879843064398686,-0.5612264236382299,C1=C(C=C(C(=C1O)O)O)C(=O)O
-0.7066400573172766,-0.46739150631798493,-0.581040746535043,3.0,-0.3688454880429324,-0.6019105985081347,-0.11158235789285778,CCCCCCCC(=O)O
-0.668096097208196,-0.2514238770704433,-0.5470965859157471,0.5,-0.16425825101620534,-0.35316915326536946,-0.11158235789285778,C(CCC(=O)O)CCC(=O)O
-0.9726078722804999,-0.6775691186956192,-0.6659486889244863,0.5,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,S
-0.7913594884342281,-0.41528135448881937,-0.6023390433942091,0.0,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,C1=CC(=CC=C1N)O
-0.6293589342915511,-0.4911305754846047,-0.47103123999015384,-0.3,-0.5734327250696595,-0.6019105985081347,-0.5612264236382299,CN1C(CCC1=O)C2=CN=CC=C2
-0.8758857167436154,-0.38227825833034784,-0.6541585603060194,-1.4,-0.16425825101620534,-0.6019105985081347,-0.4712976104891555,C(CN)CN
-0.8035071149598344,-0.3504331655458578,-0.6000570830164412,-0.5,-0.16425825101620534,-0.47753987588675206,-0.4712976104891555,CC(CC(=O)O)O
-0.47593175473454036,-0.5148696446512245,-0.43109693337921745,3.2,-0.3688454880429324,-0.6019105985081347,-0.29143998419100664,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
-0.6971006686937885,-0.23289582308673998,-0.5489982195638868,-1.0,0.04032898601052175,-0.35316915326536946,-0.29143998419100664,CC(CCO)(CC(=O)O)O
-0.6149653251280097,0.017232905693254617,-0.5661129223971453,-3.1,0.654090697090703,-0.10442770802260426,-0.20151117104193222,C(C(C(C(C(CO)O)O)O)O)O
-0.7236660547338816,-0.41122834267988423,-0.5366376008509779,-0.1,-0.3688454880429324,-0.7262813211295173,-0.5612264236382299,C[N+]1=CC=CC(=C1)C(=O)N
